Course #	Section #	Course Name	Instructor id	days	beg_tm	end_tm	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
CORE101	35	FIRST YEAR SEMINAR:Concepts of Family and Identity	123456	--T-R--	1200	1350	30	group																
CORE301	1	INQUIRY IN THE LIBERAL ARTS:Campus Ecology	123456	--T-R--	1200	1350	30	group																
CORE301	2	INQUIRY IN THE LIBERAL ARTS:Is it just progress?	123456	--T-R--	1200	1350	30	group																
CORE301	3	INQUIRY IN THE LIBERAL ARTS:The Future of Nature	123456	--T-R--	1200	1350	30	group																
CORE301	4	INQUIRY IN THE LIBERAL ARTS:Genius Creativity and Madness	123456	--T-R--	1200	1350	30	group																
CORE301	5	INQUIRY IN THE LIBERAL ARTS:Capitalism's Crises	123456	--T-R--	1800	1950	30	group																
CORE301	6	INQUIRY IN THE LIBERAL ARTS:Whistleblowers & Organizations	123456	-M-W-F-	1200	1310	30	group																
COSC120	1	COMPUTER SCIENCE I	123456	-M-W-F-	920	1030	30	group																
COSC120	2	COMPUTER SCIENCE I	123456	--T-R--	1200	1350	30	group																
COSC120	3	COMPUTER SCIENCE I	123456	-M-W---	1440	1630	30	group																
COSC130	1	INTRO TO COMPUTER SCIENCE II	123456	-M-W-F-	1040	1150	30	group																
COSC181	1	EMERGING SCHOLARS	123456	-M-W---	1800	1950	30	group																
COSC201	1	ALGORITHMS/DATA STRUCTURES	123456	--T-R--	1400	1550	30	group																
COSC201	2	ALGORITHMS/DATA STRUCTURES	123456	-M-W---	1440	1630	30	group																
COSC230	1	COMPUTER ARCHITECTURE	123456	-M-W-F-	1200	1310	30	group																
COSC301	1	SOFTWARE ENGINEERING I	123456	--T-R--	1800	1950	30	group																
COSC391	1	PROGRAMMING TEAM SEMINAR	123456	---W---	1640	1750	30	group																
COSC420	1	DISTRIBUTED/PARALLEL COMPUTING	123456	-M-W-F-	920	1030	30	group																
COSC440	1	THEORY OF COMPUTATION	123456	-M-W-F-	1320	1430	30	group																
COSC480	1	TOPICS IN COMPUTER SCIENCE	123456	--T-R--	1400	1550	30	group																
COSC480	2	TOPICS IN COMPUTER SCIENCE	123456	-M-W-F-	1200	1310	30	group																
ECON102	1	PRINCIPLES OF MICROECONOMICS	123456	-M-W-F-	920	1030	30	group																
ECON102	2	PRINCIPLES OF MICROECONOMICS	123456	-M-W---	1440	1630	30	group																
ECON103	1	PRINCIPLES OF MACROECONOMICS	123456	--T-R--	1200	1350	30	group																
ECON103	2	PRINCIPLES OF MACROECONOMICS	123456	--T-R--	1400	1550	30	group																
ECON250	1	PRINCIPLES OF ACCOUNTING	123456	--T-R--	800	950	30	group																
ECON251	1	INTERMEDIATE MACROECONOMICS	123456	-M-W-F-	920	1030	30	group																
ECON251	2	INTERMEDIATE MACROECONOMICS	123456	--T-R--	1000	1150	30	group																
ECON252	1	INTERMEDIATE MICROECONOMICS	123456	-M-W-F-	1040	1150	30	group																
ECON252	2	INTERMEDIATE MICROECONOMICS	123456	-M-W-F-	1200	1310	30	group																
ECON252	3	INTERMEDIATE MICROECONOMICS	123456	--T-R--	1000	1150	30	group																
ECON253	1	ECONOMIC STATISTICS	123456	--T-R--	800	950	30	group																
ECON253	2	ECONOMIC STATISTICS	123456	--T-R--	1000	1150	30	group																
ECON310	1	TOPICS IN ECONOMICS:Real Estate Finance	123456	-M-----	1700	2040	30	group																
ECON350	1	ENVIRONMENTAL ECONOMICS	123456	-M-W-F-	800	910	30	group																
ECON353	1	CORPORATE FINANCE	123456	--T-R--	1200	1350	30	group																
ECON355	1	LABOR ECONOMICS	123456	-M-W---	1440	1630	30	group																
